,pipline,fit_time,prediction_time
0,Bayesian_lstm,0.9702470064163208,0.040989017486572264
1,Bayesian_lstm,1.341138243675232,0.04914100170135498
2,Bayesian_lstm,1.5069247007369995,0.05165855884552002
3,Bayesian_lstm,0.5723088026046753,0.03532156944274902
4,Bayesian_lstm,2.605815625190735,0.14322397708892823
5,Bayesian_lstm,1.366979146003723,0.04191133975982666
6,Bayesian_lstm,1.3942648410797118,0.04151172637939453
7,Bayesian_lstm,1.552715015411377,0.09722774028778076
8,Bayesian_lstm,1.232489776611328,0.041025757789611816
9,Bayesian_lstm,1.2619135856628418,0.03879694938659668
10,Bayesian_lstm,1.2263374328613281,0.04376556873321533
11,Bayesian_lstm,2.24026141166687,0.05559868812561035
12,Bayesian_lstm,1.3070068120956422,0.045319199562072754
13,Bayesian_lstm,0.4561993360519409,0.04092381000518799
14,Bayesian_lstm,0.68798348903656,0.04729902744293213
15,Bayesian_lstm,0.6919432878494263,0.04793140888214111
16,Bayesian_lstm,1.3606703519821166,0.0741464614868164
17,Bayesian_lstm,1.5933892965316772,0.0768813133239746
18,Bayesian_lstm,2.2106903553009034,0.05051231384277344
19,Bayesian_lstm,0.2612922668457031,0.020753765106201173
20,Bayesian_lstm,1.7146257877349853,0.16234047412872316
21,Bayesian_lstm,0.44054269790649414,0.028775906562805174
22,Bayesian_lstm,2.4110265016555785,0.06677491664886474
23,Bayesian_lstm,1.3045230865478517,0.04371917247772217
24,Bayesian_lstm,0.9168624162673951,0.04765481948852539
25,Bayesian_lstm,1.0315473079681396,0.04302544593811035
26,Bayesian_lstm,2.104448986053467,0.04786069393157959
