training_time,testing_time,pipline
6.244893336296082,2.8344850540161133,MCD
7.323600721359253,2.8106515407562256,MCD
7.324299049377442,2.7761430740356445,MCD
3.0706828832626343,2.262962818145752,MCD
14.503446745872498,17.08965301513672,MCD
7.667843294143677,7.246553659439087,MCD
7.719637322425842,7.2475481033325195,MCD
8.489115262031556,12.163040161132812,MCD
6.834141325950623,5.472331762313843,MCD
6.957887792587281,4.564511060714722,MCD
7.176884508132934,7.692261219024658,MCD
12.492927861213683,4.215481281280518,MCD
7.1454216003417965,2.7693026065826416,MCD
2.491142463684082,2.3969149589538574,MCD
3.738759756088257,3.1677889823913574,MCD
3.8165022850036623,3.2432963848114014,MCD
7.517366933822632,7.235451698303223,MCD
8.671861577033997,9.222166776657104,MCD
12.25404679775238,3.196993112564087,MCD
1.6350671291351317,1.6054222583770752,MCD
9.9240558385849,12.366273403167725,MCD
2.488267517089844,1.7417397499084473,MCD
13.352583885192871,6.7916834354400635,MCD
6.897517132759094,2.4350926876068115,MCD
5.151470518112182,2.5470142364501953,MCD
5.276236510276794,2.504493236541748,MCD
11.260765790939331,2.852597236633301,MCD
