,fit_time,Prediction_time,pipline
0,0.8389630889892579,0.0022605228424072265,Arima
1,2.194915285110474,0.009818706512451172,Arima
2,3.532903175354004,0.005846776962280273,Arima
3,0.9210605812072754,0.002909393310546875,Arima
4,1.746170539855957,0.0053489780426025394,Arima
5,3.461171293258667,0.008357648849487304,Arima
6,2.2392389297485353,0.005740089416503906,Arima
7,0.6835354328155517,0.0022974300384521486,Arima
8,0.6461218643188477,0.002055644989013672,Arima
9,0.8550176811218262,0.0029960918426513673,Arima
10,0.7531756401062012,0.0027593708038330077,Arima
11,0.9464236068725586,0.0027631664276123046,Arima
12,0.9318219375610352,0.004273853302001953,Arima
13,1.4737032222747803,0.004169721603393555,Arima
14,3.180385036468506,0.004371232986450195,Arima
15,4.866227941513062,0.007934894561767578,Arima
